Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;BTWiFi-with-FON;5A:F3:A3:0A:29:F8;;1;No;OPN,None;No;54.0;0;3;0;0;0;0;0;;;Sun Dec 16 20:59:28 2018;Sun Dec 16 21:00:58 2018;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;BTHub3-MW9F;20:F3:A3:0A:29:FF;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sun Dec 16 20:57:56 2018;Sun Dec 16 21:00:58 2018;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Michael's Wi-Fi Network;80:EA:96:F3:A8:C8;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Sun Dec 16 20:57:44 2018;Sun Dec 16 20:58:09 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;BTWifi-with-FON;CC:33:BB:7E:8C:61;;11;No;OPN,None;No;54.0;0;2;0;0;0;0;0;;;Sun Dec 16 20:57:40 2018;Sun Dec 16 20:57:55 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;VM8786948;48:D3:43:77:C4:61;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;61;0;0;0;0;0;;;Sun Dec 16 20:57:33 2018;Sun Dec 16 21:00:57 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;BTWifi-with-FON;02:81:D8:79:CE:2A;;1;No;OPN,None;No;54.0;0;45;0;0;0;0;0;;;Sun Dec 16 20:57:34 2018;Sun Dec 16 21:00:59 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;BTWifi-X;F6:6B:EF:39:22:14;;1;No;WPA2,AES-CCM;No;54.0;0;53;0;0;0;0;0;;;Sun Dec 16 20:57:30 2018;Sun Dec 16 21:00:58 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;BTWifi-with-FON;F6:6B:EF:39:22:17;;1;No;OPN,None;No;54.0;0;47;0;0;0;0;0;;;Sun Dec 16 20:57:37 2018;Sun Dec 16 21:00:58 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;BTHub6-S7XF;F4:6B:EF:39:20:16;;1;No;WPA2,AES-CCM;No;54.0;0;45;0;0;0;0;0;;;Sun Dec 16 20:57:30 2018;Sun Dec 16 21:00:58 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;BTHub3-PZWT;00:81:D8:79:CE:2A;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;35;0;0;0;0;0;;;Sun Dec 16 20:57:37 2018;Sun Dec 16 21:00:58 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;VM127044-2G;E8:FC:AF:2F:30:D8;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;329;0;12;0;0;12;;;Sun Dec 16 20:57:30 2018;Sun Dec 16 21:00:59 2018;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;TALKTALKE3FA2D;94:FE:22:E3:FA:34;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;448;0;1421;0;0;1421;;;Sun Dec 16 20:57:30 2018;Sun Dec 16 21:00:59 2018;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;TP-LINK_5GHz_6135E4;B0:4E:26:41:5B:9D;;4;No;WPA2,AES-CCM,TKIP;No;54.0;0;726;0;81;0;0;81;;;Sun Dec 16 20:57:31 2018;Sun Dec 16 21:00:59 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;TP-LINK_5GHz_6135E4;C4:E9:84:61:35:E2;;4;No;WPA2,AES-CCM;No;54.0;0;753;0;17;0;0;17;;;Sun Dec 16 20:57:31 2018;Sun Dec 16 21:00:59 2018;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
